train_number,train_name,reliability_score
12306,Kolkata Rajdhani,100.0
12049,Gatimaan Express,99.0375
12957,Swarna Jayanti Rajdhani,97.127
12680,Coimbatore Intercity,96.66653846153847
12434,Rajdhani,94.445
12313,Sealdah Rajdhani,94.291875
12019,Shatabdi,94.0
20665,Vande Bharat,93.46142857142857
22221,Mumbai Vande Bharat,93.38900000000001
20666,Vande Bharat,92.85714285714286
22225,Chennai Vande Bharat,92.52714285714285
22652,Palakkad Superfast,92.33324999999999
12951,Mumbai Rajdhani,92.287
12010,Shatabdi,91.71428571428571
12681,Kovai Express,91.66666666666667
12301,Howrah Rajdhani,91.60000000000001
12953,August Kranti Rajdhani,90.36099999999999
12020,Shatabdi,90.06666666666666
12958,Swarna Jayanti Rajdhani,89.99928571428572
12009,Shatabdi,89.25
22226,Chennai Vande Bharat,88.52499999999999
12637,Pandian Exp,87.22466666666666
12433,Rajdhani,87.2225
12631,Nellai Express,87.20292857142856
12954,August Kranti Rajdhani,87.15172727272727
12001,Shatabdi,86.0655
12952,Mumbai Rajdhani,85.331625
12050,Gatimaan Express,85.25666666666667
12638,Pandian Exp,85.08641666666666
12632,Nellai Express,84.34053333333333
12302,Howrah Rajdhani,84.183125
12314,Sealdah Rajdhani,83.7998
22651,Palakkad Superfast,83.72588235294118
22301,Vande Bharat,83.26833333333333
12424,Dibrugarh Rajdhani,83.22773684210526
22222,Mumbai Vande Bharat,82.9628888888889
12423,Dibrugarh Rajdhani,82.89436842105263
22602,Chennai Intercity,81.25
12259,Sealdah Duronto,81.12381818181818
12002,Shatabdi,80.625
12682,Kovai Express,80.0
22302,Vande Bharat,79.769
12925,Paschim Express,79.1675
12926,Paschim Express,78.7188717948718
11028,Mumbai Chennai Mail,78.3074
12904,Golden Temple Mail,78.10337931034483
12305,Kolkata Rajdhani,77.5
16339,Nagercoil Express,77.43143333333335
12260,Sealdah Duronto,77.109375
12235,Duronto Express,76.75
12903,Golden Temple Mail,75.53764516129031
12201,Garib Rath,75.41666666666667
12674,Cheran Express,75.01285714285714
16340,Nagercoil Express,73.90625
12246,Duronto Express,72.99775
12163,Chennai Express,72.38416666666667
12625,Kerala Express,72.14668292682927
12622,Tamil Nadu Exp,71.66841666666666
17058,Devagiri Express,71.2964074074074
22601,Chennai Intercity,71.25
15959,Kamrup Express,71.16922641509434
12138,Punjab Mail,70.91774468085106
16128,Guruvayur Express,70.04038095238096
12621,Tamil Nadu Exp,69.46736363636363
11014,Coimbatore Express,69.41944444444445
15960,Kamrup Express,68.68508
12673,Cheran Express,68.446375
12679,Coimbatore Intercity,68.4103076923077
16127,Guruvayur Express,67.55041860465117
12164,Chennai Express,66.46963636363637
12296,Sanghamitra Express,66.427
11027,Mumbai Chennai Mail,65.8515357142857
11013,Coimbatore Express,65.81763636363637
12367,Vikramshila Express,65.41080952380952
12137,Punjab Mail,64.90010416666667
12202,Garib Rath,63.86517391304347
12295,Sanghamitra Express,63.83793939393939
17057,Devagiri Express,62.764
12368,Vikramshila Express,59.27370588235294
12626,Kerala Express,57.43033333333333
12841,Coromandel Express,56.73757142857143
12236,Duronto Express,52.857142857142854
12245,Duronto Express,52.2716
12510,Sbc Guwahati Express,48.94665789473684
12842,Coromandel Express,48.450823529411764
12840,Howrah Mail,45.2234
12261,Howrah Duronto,39.33
12262,Howrah Duronto,37.083333333333336
12509,Guwahati Sbc Express,36.103297297297296
12839,Howrah Mail,33.72995238095238
